Income Group,Year, Births by women aged 15 to 19 (thousands), Births by women aged 15 to 19
Lower-middle-income countries,2021,6507.679,6507679
Low-income countries,1950,842.2,842200
Low-income countries,1951,833.045,833045
Low-income countries,1952,846.477,846477
Low-income countries,1953,866.268,866268
Low-income countries,1954,883.364,883364
Low-income countries,1955,900.495,900495
Low-income countries,1956,919.011,919011
Low-income countries,1957,941.427,941427
Low-income countries,1958,959.807,959807
Low-income countries,1959,978.726,978726
Low-income countries,1960,1005.644,1005644
Low-income countries,1961,1033.592,1033592
Low-income countries,1962,1068.553,1068553
Low-income countries,1963,1100.137,1100137
Low-income countries,1964,1135.474,1135474
Low-income countries,1965,1167.049,1167049
Low-income countries,1966,1199.932,1199932
Low-income countries,1967,1231.843,1231843
Low-income countries,1968,1257.33,1257330
Low-income countries,1969,1301.381,1301381
Low-income countries,1970,1347.735,1347735
Low-income countries,1971,1401.656,1401656
Low-income countries,1972,1445.232,1445232
Low-income countries,1973,1469.572,1469572
Low-income countries,1974,1508.323,1508323
Low-income countries,1975,1545.005,1545005
Low-income countries,1976,1578.568,1578568
Low-income countries,1977,1615.456,1615456
Low-income countries,1978,1644.545,1644545
Low-income countries,1979,1692.671,1692671
Low-income countries,1980,1724.901,1724901
Low-income countries,1981,1741.354,1741354
Low-income countries,1982,1773.731,1773731
Low-income countries,1983,1818.266,1818266
Low-income countries,1984,1867.731,1867731
Low-income countries,1985,1927.334,1927334
Low-income countries,1986,1965.338,1965338
Low-income countries,1987,1996.595,1996595
Low-income countries,1988,2028.631,2028631
Low-income countries,1989,2049.749,2049749
Low-income countries,1990,2111,2111000
Low-income countries,1991,2160.451,2160451
Low-income countries,1992,2179.043,2179043
Low-income countries,1993,2290.941,2290941
Low-income countries,1994,2354.686,2354686
Low-income countries,1995,2404.397,2404397
Low-income countries,1996,2505.468,2505468
Low-income countries,1997,2537.621,2537621
Low-income countries,1998,2582.734,2582734
Low-income countries,1999,2685.252,2685252
Low-income countries,2000,2726.217,2726217
Low-income countries,2001,2810.313,2810313
Low-income countries,2002,2873.927,2873927
Low-income countries,2003,2924.514,2924514
Low-income countries,2004,2986.451,2986451
Low-income countries,2005,3045.4,3045400
Low-income countries,2006,3099.949,3099949
Low-income countries,2007,3149.301,3149301
Low-income countries,2008,3190.166,3190166
Low-income countries,2009,3208.48,3208480
Low-income countries,2010,3283.551,3283551
Low-income countries,2011,3359.414,3359414
Low-income countries,2012,3385.98,3385980
Low-income countries,2013,3394.379,3394379
Low-income countries,2014,3428.613,3428613
Low-income countries,2015,3450.451,3450451
Low-income countries,2016,3468.014,3468014
Low-income countries,2017,3502.801,3502801
Low-income countries,2018,3556.3,3556300
Low-income countries,2019,3630.091,3630091
Low-income countries,2020,3683.061,3683061
Low-income countries,2021,3738.427,3738427
Middle-income countries,1950,8657.122,8657122
Middle-income countries,1951,8785.299,8785299
Middle-income countries,1952,9278.012,9278012
Middle-income countries,1953,9216.798,9216798
Middle-income countries,1954,9436.803,9436803
Middle-income countries,1955,9491.852,9491852
Middle-income countries,1956,9388.217,9388217
Middle-income countries,1957,9672.56,9672560
Middle-income countries,1958,9457.606,9457606
Middle-income countries,1959,9224.852,9224852
Middle-income countries,1960,9251.871,9251871
Middle-income countries,1961,9215.273,9215273
Middle-income countries,1962,9976.62,9976620
Middle-income countries,1963,10692.509,10692509
Middle-income countries,1964,10615.299,10615299
Middle-income countries,1965,10769.794,10769794
Middle-income countries,1966,10929.829,10929829
Middle-income countries,1967,10998.383,10998383
Middle-income countries,1968,11680.833,11680833
Middle-income countries,1969,11994.84,11994840
Middle-income countries,1970,12287.377,12287377
Middle-income countries,1971,12620.491,12620491
Middle-income countries,1972,12727.43,12727430
Middle-income countries,1973,12917.335,12917335
Middle-income countries,1974,13012.118,13012118
Middle-income countries,1975,12883.973,12883973
Middle-income countries,1976,12926.635,12926635
Middle-income countries,1977,12616.239,12616239
Middle-income countries,1978,12687.925,12687925
Middle-income countries,1979,13155.147,13155147
Middle-income countries,1980,13490.128,13490128
Middle-income countries,1981,14100.442,14100442
Middle-income countries,1982,14753.459,14753459
Middle-income countries,1983,14884.746,14884746
Middle-income countries,1984,15069.721,15069721
Middle-income countries,1985,15169.449,15169449
Middle-income countries,1986,15285.337,15285337
Middle-income countries,1987,14918.972,14918972
Middle-income countries,1988,15167.198,15167198
Middle-income countries,1989,15369.971,15369971
Middle-income countries,1990,15285.718,15285718
Middle-income countries,1991,15416.006,15416006
Middle-income countries,1992,15180.335,15180335
Middle-income countries,1993,14951.821,14951821
Middle-income countries,1994,14800.187,14800187
Middle-income countries,1995,14742.533,14742533
Middle-income countries,1996,14433.032,14433032
Middle-income countries,1997,14333.02,14333020
Middle-income countries,1998,14433.093,14433093
Middle-income countries,1999,14317.439,14317439
Middle-income countries,2000,14316.159,14316159
Middle-income countries,2001,14390.279,14390279
Middle-income countries,2002,14087.086,14087086
Middle-income countries,2003,13788.019,13788019
Middle-income countries,2004,13088.503,13088503
Middle-income countries,2005,12139.866,12139866
Middle-income countries,2006,11713.061,11713061
Middle-income countries,2007,11612.969,11612969
Middle-income countries,2008,11798.636,11798636
Middle-income countries,2009,11398.359,11398359
Middle-income countries,2010,11227.475,11227475
Middle-income countries,2011,10972.63,10972630
Middle-income countries,2012,10856.115,10856115
Middle-income countries,2013,10792.501,10792501
Middle-income countries,2014,10675.81,10675810
Middle-income countries,2015,9670.219,9670219
Middle-income countries,2016,9295.155,9295155
Middle-income countries,2017,9144.239,9144239
Middle-income countries,2018,8951.587,8951587
Middle-income countries,2019,8775.969,8775969
Middle-income countries,2020,8632.132,8632132
Middle-income countries,2021,8582.997,8582997
No income group available,1950,35.898,35898
No income group available,1951,38.159,38159
No income group available,1952,39.956,39956
No income group available,1953,41.84,41840
No income group available,1954,43.438,43438
No income group available,1955,45.244,45244
No income group available,1956,46.162,46162
No income group available,1957,49.136,49136
No income group available,1958,51.063,51063
No income group available,1959,51.745,51745
No income group available,1960,51.652,51652
No income group available,1961,52.181,52181
No income group available,1962,53.312,53312
No income group available,1963,54.231,54231
No income group available,1964,56.194,56194
No income group available,1965,57.784,57784
No income group available,1966,60.064,60064
No income group available,1967,62.57,62570
No income group available,1968,65.647,65647
No income group available,1969,67.546,67546
No income group available,1970,68.414,68414
No income group available,1971,70.072,70072
No income group available,1972,72.63,72630
No income group available,1973,74.552,74552
No income group available,1974,75.45,75450
No income group available,1975,77.613,77613
No income group available,1976,79.532,79532
No income group available,1977,80.677,80677
No income group available,1978,81.297,81297
No income group available,1979,81.937,81937
No income group available,1980,82,82000
No income group available,1981,80.472,80472
No income group available,1982,78.467,78467
No income group available,1983,78.229,78229
No income group available,1984,78.722,78722
No income group available,1985,80.631,80631
No income group available,1986,92.719,92719
No income group available,1987,96.827,96827
No income group available,1988,98.417,98417
No income group available,1989,99.375,99375
No income group available,1990,100.252,100252
No income group available,1991,101.767,101767
No income group available,1992,103.65,103650
No income group available,1993,104.768,104768
No income group available,1994,106.494,106494
No income group available,1995,106.918,106918
No income group available,1996,109.512,109512
No income group available,1997,112.17,112170
No income group available,1998,114.954,114954
No income group available,1999,119.771,119771
No income group available,2000,118.544,118544
No income group available,2001,117.31,117310
No income group available,2002,117.936,117936
No income group available,2003,116.24,116240
No income group available,2004,118.347,118347
No income group available,2005,124.977,124977
No income group available,2006,128.522,128522
No income group available,2007,128.524,128524
No income group available,2008,129.713,129713
No income group available,2009,130.65,130650
No income group available,2010,130.404,130404
No income group available,2011,128.974,128974
No income group available,2012,129.598,129598
No income group available,2013,128.538,128538
No income group available,2014,125.533,125533
No income group available,2015,123.372,123372
No income group available,2016,121.808,121808
No income group available,2017,120.38,120380
No income group available,2018,114.789,114789
No income group available,2019,109.339,109339
No income group available,2020,106.291,106291
No income group available,2021,105.703,105703
Upper-middle-income countries,1950,3425.616,3425616
Upper-middle-income countries,1951,3420.539,3420539
Upper-middle-income countries,1952,3780.383,3780383
Upper-middle-income countries,1953,3608.386,3608386
Upper-middle-income countries,1954,3698.17,3698170
Upper-middle-income countries,1955,3648.014,3648014
Upper-middle-income countries,1956,3453.641,3453641
Upper-middle-income countries,1957,3644.67,3644670
Upper-middle-income countries,1958,3350.8,3350800
Upper-middle-income countries,1959,3035.929,3035929
Upper-middle-income countries,1960,2945.589,2945589
Upper-middle-income countries,1961,2774.953,2774953
Upper-middle-income countries,1962,3406.471,3406471
Upper-middle-income countries,1963,4011.695,4011695
Upper-middle-income countries,1964,3802.869,3802869
Upper-middle-income countries,1965,3721.567,3721567
Upper-middle-income countries,1966,3654.683,3654683
Upper-middle-income countries,1967,3438.32,3438320
Upper-middle-income countries,1968,3880.282,3880282
Upper-middle-income countries,1969,3948.936,3948936
Upper-middle-income countries,1970,4025.621,4025621
Upper-middle-income countries,1971,3994.706,3994706
Upper-middle-income countries,1972,3813.917,3813917
Upper-middle-income countries,1973,3712.517,3712517
Upper-middle-income countries,1974,3630.078,3630078
Upper-middle-income countries,1975,3439.733,3439733
Upper-middle-income countries,1976,3363.732,3363732
Upper-middle-income countries,1977,3225.114,3225114
Upper-middle-income countries,1978,3127.243,3127243
Upper-middle-income countries,1979,3144.946,3144946
Upper-middle-income countries,1980,3275.805,3275805
Upper-middle-income countries,1981,3574.519,3574519
Upper-middle-income countries,1982,4103.94,4103940
Upper-middle-income countries,1983,4202.786,4202786
Upper-middle-income countries,1984,4302.299,4302299
Upper-middle-income countries,1985,4391.584,4391584
Upper-middle-income countries,1986,4446.336,4446336
Upper-middle-income countries,1987,4517.821,4517821
Upper-middle-income countries,1988,4448.418,4448418
Upper-middle-income countries,1989,4457.937,4457937
Upper-middle-income countries,1990,4587.794,4587794
Upper-middle-income countries,1991,4327.986,4327986
Upper-middle-income countries,1992,3912.417,3912417
Upper-middle-income countries,1993,3776.601,3776601
Upper-middle-income countries,1994,3465.639,3465639
Upper-middle-income countries,1995,3390.047,3390047
Upper-middle-income countries,1996,3372.362,3372362
Upper-middle-income countries,1997,3265.542,3265542
Upper-middle-income countries,1998,3274.683,3274683
Upper-middle-income countries,1999,3281.788,3281788
Upper-middle-income countries,2000,3289.308,3289308
Upper-middle-income countries,2001,3312.189,3312189
Upper-middle-income countries,2002,3274.034,3274034
Upper-middle-income countries,2003,3260.17,3260170
Upper-middle-income countries,2004,3302.066,3302066
Upper-middle-income countries,2005,3367.453,3367453
Upper-middle-income countries,2006,3371.924,3371924
Upper-middle-income countries,2007,3353.654,3353654
Upper-middle-income countries,2008,3368.127,3368127
Upper-middle-income countries,2009,3333.541,3333541
Upper-middle-income countries,2010,3221.74,3221740
Upper-middle-income countries,2011,3158.948,3158948
Upper-middle-income countries,2012,3120.906,3120906
Upper-middle-income countries,2013,3050.206,3050206
Upper-middle-income countries,2014,2993.973,2993973
Upper-middle-income countries,2015,2828.619,2828619
Upper-middle-income countries,2016,2676.551,2676551
Upper-middle-income countries,2017,2540.894,2540894
Upper-middle-income countries,2018,2374.333,2374333
Upper-middle-income countries,2019,2276.824,2276824
Upper-middle-income countries,2020,2148.07,2148070
Upper-middle-income countries,2021,2075.318,2075318
