Income Group,Year,Life Expectancy at Birth
Low-income countries,1998,49.953
Low-income countries,1999,51.553
Low-income countries,2000,52.547
Low-income countries,2001,53.073
Low-income countries,2002,53.585
Low-income countries,2003,54.576
Low-income countries,2004,55.132
Low-income countries,2005,55.773
Low-income countries,2006,56.627
Low-income countries,2007,57.334
Low-income countries,2008,57.977
Low-income countries,2009,58.736
Low-income countries,2010,59.301
Low-income countries,2011,59.925
Low-income countries,2012,60.293
Low-income countries,2013,60.719
Low-income countries,2014,61.127
Low-income countries,2015,61.577
Low-income countries,2016,62.111
Low-income countries,2017,62.523
Low-income countries,2018,62.904
Low-income countries,2019,63.343
Low-income countries,2020,62.913
Low-income countries,2021,62.452
Middle-income countries,1950,43.521
Middle-income countries,1951,44.036
Middle-income countries,1952,44.834
Middle-income countries,1953,45.388
Middle-income countries,1954,46.157
Middle-income countries,1955,46.739
Middle-income countries,1956,47.365
Middle-income countries,1957,47.846
Middle-income countries,1958,48.375
Middle-income countries,1959,45.463
Middle-income countries,1960,43.336
Middle-income countries,1961,46.491
Middle-income countries,1962,50.093
Middle-income countries,1963,50.701
Middle-income countries,1964,51.303
Middle-income countries,1965,51
Middle-income countries,1966,51.773
Middle-income countries,1967,52.241
Middle-income countries,1968,53.039
Middle-income countries,1969,53.502
Middle-income countries,1970,53.784
Middle-income countries,1971,53.406
Middle-income countries,1972,55.033
Middle-income countries,1973,55.632
Middle-income countries,1974,56.106
Middle-income countries,1975,56.37
Middle-income countries,1976,56.846
Middle-income countries,1977,57.592
Middle-income countries,1978,58.062
Middle-income countries,1979,58.561
Middle-income countries,1980,59.026
Middle-income countries,1981,59.488
Middle-income countries,1982,59.97
Middle-income countries,1983,60.395
Middle-income countries,1984,60.807
Middle-income countries,1985,61.229
Middle-income countries,1986,61.783
Middle-income countries,1987,62.156
Middle-income countries,1988,62.437
Middle-income countries,1989,62.79
Middle-income countries,1990,63.018
Middle-income countries,1991,63.132
Middle-income countries,1992,63.433
Middle-income countries,1993,63.532
Middle-income countries,1994,63.698
Middle-income countries,1995,63.977
Middle-income countries,1996,64.271
Middle-income countries,1997,64.639
Middle-income countries,1998,65.016
Middle-income countries,1999,65.262
Middle-income countries,2000,65.567
Middle-income countries,2001,65.962
Middle-income countries,2002,66.278
Middle-income countries,2003,66.587
Middle-income countries,2004,66.867
Middle-income countries,2005,67.298
Middle-income countries,2006,67.761
Middle-income countries,2007,68.089
Middle-income countries,2008,68.305
Middle-income countries,2009,68.799
Middle-income countries,2010,69.111
Middle-income countries,2011,69.561
Middle-income countries,2012,69.957
Middle-income countries,2013,70.315
Middle-income countries,2014,70.693
Middle-income countries,2015,71.002
Middle-income countries,2016,71.309
Middle-income countries,2017,71.561
Middle-income countries,2018,71.833
Middle-income countries,2019,72.028
Middle-income countries,2020,71.302
Middle-income countries,2021,70.114
No income group available,1950,51.048
No income group available,1951,51.64
No income group available,1952,52.357
No income group available,1953,53.001
No income group available,1954,53.593
No income group available,1955,54.676
No income group available,1956,55.307
No income group available,1957,55.667
No income group available,1958,56.603
No income group available,1959,57.535
No income group available,1960,58.512
No income group available,1961,59.263
No income group available,1962,59.392
No income group available,1963,60.009
No income group available,1964,60.459
No income group available,1965,61.084
No income group available,1966,61.629
No income group available,1967,62.166
No income group available,1968,62.736
No income group available,1969,63.031
No income group available,1970,64.089
No income group available,1971,64.717
No income group available,1972,65.21
No income group available,1973,65.735
No income group available,1974,66.333
No income group available,1975,66.779
No income group available,1976,67.345
No income group available,1977,67.733
No income group available,1978,68.076
No income group available,1979,68.274
No income group available,1980,68.433
No income group available,1981,69.142
No income group available,1982,69.425
No income group available,1983,69.9
No income group available,1984,70.154
No income group available,1985,70.322
No income group available,1986,70.77
No income group available,1987,70.79
No income group available,1988,71.037
No income group available,1989,71.127
No income group available,1990,71.374
No income group available,1991,71.677
No income group available,1992,71.661
No income group available,1993,71.787
No income group available,1994,71.724
No income group available,1995,72.018
No income group available,1996,71.99
No income group available,1997,72.57
No income group available,1998,72.547
No income group available,1999,72.145
No income group available,2000,72.368
No income group available,2001,71.117
No income group available,2002,72.559
No income group available,2003,71.854
No income group available,2004,72.424
No income group available,2005,72.692
No income group available,2006,72.657
No income group available,2007,72.973
No income group available,2008,72.367
No income group available,2009,72.514
No income group available,2010,72.824
No income group available,2011,72.854
No income group available,2012,72.978
No income group available,2013,73.141
No income group available,2014,72.81
No income group available,2015,72.965
No income group available,2016,72.037
No income group available,2017,71.93
No income group available,2018,71.968
No income group available,2019,72.153
No income group available,2020,71.11
No income group available,2021,70.584
Upper-middle-income countries,1950,45.987
Upper-middle-income countries,1951,46.67
Upper-middle-income countries,1952,47.581
Upper-middle-income countries,1953,48.258
Upper-middle-income countries,1954,49.021
Upper-middle-income countries,1955,49.574
Upper-middle-income countries,1956,50.372
Upper-middle-income countries,1957,50.849
Upper-middle-income countries,1958,51.478
Upper-middle-income countries,1959,45.368
Upper-middle-income countries,1960,41.084
Upper-middle-income countries,1961,46.758
Upper-middle-income countries,1962,53.611
Upper-middle-income countries,1963,54.168
Upper-middle-income countries,1964,54.832
Upper-middle-income countries,1965,55.4
Upper-middle-income countries,1966,55.984
Upper-middle-income countries,1967,56.518
Upper-middle-income countries,1968,57.073
Upper-middle-income countries,1969,57.56
Upper-middle-income countries,1970,58.182
Upper-middle-income countries,1971,59.033
Upper-middle-income countries,1972,59.708
Upper-middle-income countries,1973,60.458
Upper-middle-income countries,1974,61.062
Upper-middle-income countries,1975,61.591
Upper-middle-income countries,1976,62.193
Upper-middle-income countries,1977,62.787
Upper-middle-income countries,1978,63.295
Upper-middle-income countries,1979,63.769
Upper-middle-income countries,1980,64.209
Upper-middle-income countries,1981,64.709
Upper-middle-income countries,1982,65.157
Upper-middle-income countries,1983,65.57
Upper-middle-income countries,1984,65.892
Upper-middle-income countries,1985,66.277
Upper-middle-income countries,1986,66.881
Upper-middle-income countries,1987,67.21
Upper-middle-income countries,1988,67.406
Upper-middle-income countries,1989,67.685
Upper-middle-income countries,1990,67.805
Upper-middle-income countries,1991,68
Upper-middle-income countries,1992,68.289
Upper-middle-income countries,1993,68.346
Upper-middle-income countries,1994,68.515
Upper-middle-income countries,1995,68.894
Upper-middle-income countries,1996,69.291
Upper-middle-income countries,1997,69.703
Upper-middle-income countries,1998,70.112
Upper-middle-income countries,1999,70.17
Upper-middle-income countries,2000,70.481
Upper-middle-income countries,2001,70.974
Upper-middle-income countries,2002,71.179
Upper-middle-income countries,2003,71.43
Upper-middle-income countries,2004,71.794
Upper-middle-income countries,2005,72.112
Upper-middle-income countries,2006,72.571
Upper-middle-income countries,2007,72.909
Upper-middle-income countries,2008,73.152
Upper-middle-income countries,2009,73.635
Upper-middle-income countries,2010,73.912
Upper-middle-income countries,2011,74.316
Upper-middle-income countries,2012,74.662
Upper-middle-income countries,2013,74.972
Upper-middle-income countries,2014,75.251
Upper-middle-income countries,2015,75.495
Upper-middle-income countries,2016,75.718
Upper-middle-income countries,2017,75.906
Upper-middle-income countries,2018,76.259
Upper-middle-income countries,2019,76.478
Upper-middle-income countries,2020,75.745
Upper-middle-income countries,2021,75.282
